,index,id,score,len,label
0,1,1.1,0.8893643503756741,7,0
1,1,1.2,1.0545724480109733,14,1
2,1,1.3,1.0675123002538944,8,1
3,1,1.4,1.0968934119504916,15,1
4,1,1.5,1.1216453854380672,22,1
5,1,1.6,1.0280513923302346,9,0
6,1,1.7,1.0980608842620785,19,1
7,1,1.9,0.9852902820414279,4,0
8,1,1.10,1.0444211737813256,18,0
9,1,1.11,0.9307755520245621,5,0
10,1,1.12,0.9455559802558264,17,0
11,1,1.13,1.1085644722022114,17,0
12,1,2.1,0.9425193383652091,7,1
13,1,2.2,0.9731568732712746,4,1
14,1,2.3,1.0660136159221945,13,0
15,1,2.4,1.1115508779026821,29,1
16,1,2.5,1.0407929710236972,10,0
17,1,3.1,0.9864923096346132,6,1
18,1,3.2,1.1227997760972208,23,1
19,1,3.3,1.1064515780699813,13,1
20,1,3.4,1.1064053225997343,11,0
21,1,4.1,0.9196331712771354,3,0
22,1,4.2,1.0182534899341897,6,1
23,1,5.1,0.6902005495671595,2,0
24,1,5.2,0.9300781373974315,4,0
25,1,5.3,1.018258288422277,6,0
26,1,5.5,0.85643539286133,4,1
27,1,5.6,0.9277472717568112,5,0
28,1,6.1,0.5226873146959823,8,1
29,2,1.1,0.9106082361368989,9,1
30,2,1.2,1.0818960261955173,18,1
31,2,1.3,1.0516957958380622,13,1
32,2,1.4,1.0986716962587515,29,1
33,2,1.5,1.1296865805901657,16,1
34,2,1.6,1.0374333614129334,15,0
35,2,2.1,1.1084109197068641,4,0
36,2,2.2,0.9637634315729547,2,0
37,2,3.1,1.0519273481842442,4,0
38,2,4.1,0.9116599020766524,4,0
39,2,4.2,0.9416208451368555,5,0
40,2,5.1,1.1192819379794963,3,0
41,2,5.2,0.9590033146775381,13,1
42,2,5.3,0.9979303610906576,12,1
43,2,6.1,1.0664713295290218,2,0
44,2,6.2,1.1198292083125132,6,0
45,2,6.3,1.050925633333606,9,1
46,2,6.4,1.0001878031573967,6,0
47,2,6.5,1.1347422660492206,4,1
48,2,6.6,1.1200727840214624,19,1
49,2,7.1,1.1163261923871695,2,0
50,2,7.2,0.9634526867383714,4,0
51,2,7.3,1.042856317855743,3,0
52,2,7.4,0.7319003984655588,19,0
53,2,7.5,0.972924957084481,5,1
54,2,7.6,1.04285978171426,11,1
55,2,8.1,0.8521185056767581,3,0
56,2,8.2,0.94824851537334,4,0
57,2,8.3,0.5618947242685398,4,0
58,2,8.4,1.0480363200160243,2,0
59,2,8.5,1.1065668070499033,5,0
60,2,8.6,1.0710854176218318,3,0
61,2,9.1,1.1073351593530205,2,0
62,2,9.4,1.119727974219324,4,0
63,2,10.1,1.088005053647274,6,0
64,2,11.1,1.0232798266656649,7,1
65,2,11.2,0.5036300771403954,8,1
66,2,11.3,0.9494551147482012,10,0
67,2,11.4,1.023282906073053,17,1
68,2,11.5,0.966473938193733,25,0
69,2,12.1,0.9634725308243375,7,1
70,2,13.2,1.0981362938344597,7,0
71,2,13.3,1.0837245624451428,6,1
72,2,13.4,0.7319148327118883,3,0
73,2,14.1,1.0207458875321158,2,0
74,2,14.2,0.9317615886478089,6,0
75,2,14.3,1.0533376060680788,3,0
76,2,14.4,1.0150301969070195,18,0
77,2,14.5,1.08166646485848,12,0
78,2,14.6,0.7319190126633417,15,0
79,2,14.7,1.0150333354532735,3,0
80,3,1.1,1.0897331946955386,8,1
81,3,1.2,1.137593824478503,14,0
82,3,1.3,1.0865676806703082,8,1
83,3,1.4,1.159981616437384,13,1
84,3,1.5,1.156055524514314,11,1
85,3,1.6,1.129393554324313,3,1
86,3,1.7,0.9879884911896966,10,1
87,3,2.1,0.5466455555912708,3,0
88,3,2.2,0.9562510573966038,8,0
89,3,3.1,0.9879909528872209,12,0
90,3,3.2,0.9715633273024542,4,0
91,3,3.3,0.921135289103478,10,0
92,3,4.1,1.130069560400818,7,1
93,3,4.2,1.1241363449878223,7,0
94,3,5.1,0.7313868737218695,3,1
95,3,5.2,1.0689569138751558,16,0
96,3,5.3,0.9846957308265991,11,0
97,3,5.4,1.0835490518986233,13,1
98,3,5.5,1.0401320044104292,8,0
99,3,5.6,1.1273035235738322,9,0
100,3,5.7,0.7313903161730714,8,0
101,3,5.8,1.0401345896350422,14,0
102,3,6.1,1.03960760440793,18,0
103,3,6.2,1.1273070941464785,3,0
104,3,6.3,0.9695643139562349,9,0
105,3,6.4,1.1043427201013596,4,0
106,3,7.1,0.9211465758682417,9,0
107,3,7.2,0.675273538564943,6,0
108,3,7.3,0.9369538305876313,8,1
109,3,8.1,0.7120860058196921,9,0
110,3,8.2,0.4260050116771834,6,0
111,3,9.1,0.09033788201879481,7,0
112,3,9.2,0.7313955086212257,7,0
113,3,9.3,0.951841369717644,7,0
114,3,10.1,0.6778336641644438,8,0
115,3,10.2,0.9603025029750469,7,0
116,3,11.1,0.9089189833732519,9,1
117,3,12.1,1.1462738220915445,2,0
118,3,12.2,1.1541943580991916,9,0
119,3,12.3,1.1654858417972398,10,1
120,3,12.4,1.0394821993024428,8,0
121,3,12.5,0.953963374922917,13,0
122,3,12.6,1.0416325597714065,5,0
123,3,12.7,0.9903656482547107,5,0
124,3,12.8,0.7314014518763562,7,0
125,3,13.1,1.041634763030243,5,0
126,3,13.2,1.0661941719106687,11,0
